Еда;Косметос;Шмот;мероприятия;Техника;Игры;Меры;Мусорку
190471185;192830234;215852379;23482289;158352267;201670096;214523523;207696702
196718040;122557292;214771642;21223260;5264590;105210866;205077647;141149815
50224343;63194787;166192083;123453319;72980738;139831157;53642557;147029356
136157195;35687224;217353568;139252401;17892518;190508100;35108650;456241729
142949112;150365284;38954301;15535353;151650962;119422538;199498729;175053128
154009396;212381225;2651792;87677042;2611;77870074;71054662;157142819
19817989;173267140;79098077;86529522;205657477;205325697;166350220;133180305
212630889;126100393;70361483;37119411;204076435;190980211;164694774;62512467
129808302;39899334;219559231;166971662;66740018;184925461;15870397;15502770
87551122;188303466;218191909;211024991;24851119;163800704;156381169;20225241
35469325;130645670;559908794;80797851;2394552;148211806;212905108;168179896
119188256;142756187;457242499;147845620;17587885;49779773;213390880;161669396
221793757;87822007;206390521;34035188;181587379;202799715;109001333;172222275
44453982;52400849;42225457;23995866;77887810;186021792;46970977;200958444
118335773;182687035;86736335;83415396;45565088;138011123;15870397;205130539
218442065;60403566;1375818;4100014;29013846;125413034;145929161;202316750
53395811;165646201;16647180;43732701;14524722;67281773;211595920;174748239
215232494;145025257;44398;27368557;29042319;126093223;145929161;77498203
139239752;79205326;13643401;63146755;100818851;178908548;164624282;178489021
140291100;16472248;59120577;47821233;31038184;15936144;104360781;170116567
3288262;74180964;212238809;218249173;167025657;162628981;127503724;176993383
70706111;141042405;117432536;75433783;64619028;116122860;219448898;154503679
127998931;15811056;196395451;131886625;98658706;22744303;43925626;157116504
221903568;15316217;167303794;54058659;58344643;206301059;213815319;142417784
120365799;37156966;38307611;105103266;137812640;15388527;217076217;151281532
213387899;162767019;174032918;30585263;199185940;221507761;175452590;41929270
189413929;140320551;78532196;186464076;79904532;113792810;102369770;175308122
28503925;187682237;201440364;18542826;117189779;205895789;151052796;178345095
144630329;189054341;82497626;163611153;10119916;69934966;213204144;170754671
175191982;151684113;6314439;51228724;72378974;148506755;87464793;192289443